pdf_name,polarity
COMBINED-Q4-17-Shareholder-Letter-FINAL,0.5
FINAL_Q2_15_Letter_to_Shareholders_With_Tables_,0.25
FINAL_Q3_15_Letter_to_Shareholders_With_Tables_,0.25
FINAL_Q3_Letter,0.25
FINAL-Q1-18-Shareholder-Letter,0.25
FINAL-Q1-19-Shareholder-Letter,0.5
FINAL-Q1-20-Shareholder-Letter,0.25
FINAL-Q1-21-Shareholder-Letter,0.5
FINAL-Q1-22-Shareholder-Letter,-0.25
Final-Q1-23-Shareholder-Letter,0.25
FINAL-Q2-18-Shareholder-Letter,0.5
FINAL-Q2-20-Shareholder-Letter-V3-with-Tables,0.25
FINAL-Q2-21-Shareholder-Letter,0.25
FINAL-Q2-22-Shareholder-Letter,0.5
FINAL-Q2-23-Shareholder-Letter,0.25
FINAL-Q3-18-Shareholder-Letter,0.25
FINAL-Q3-19-Shareholder-Letter,0.25
FINAL-Q3-20-Shareholder-Letter,0.25
FINAL-Q3-21-Shareholder-Letter,0.25
FINAL-Q3-22-Shareholder-Letter,0.25
FINAL-Q4-18-Shareholder-Letter,0.5
FINAL-Q4-19-Shareholder-Letter,0.5
FINAL-Q420-Shareholder-Letter,0
FINAL-Q4-21-Shareholder-Letter,0.25
FINAL-Q4-22-Shareholder-Letter,0.5
Investor_Letter_Q12013,0.5
Investor-Letter-Q1-2012,0.25
Investor-Letter-Q2-2012-07,0.25
Investor-Letter-Q3-2011,-0.25
Investor-Letter-Q3-2012-10,0.25
Investor-Letter-Q4-2011,0.25
Investor-Letter-Q42012-01,0.25
July2014EarningsLetter_7,0.25
July-Investor-Letter-1130am,0.25
Q1-11-Letter-to-shareholders,0.25
Q114-Earnings-Letter-4,0
Q116LettertoShareholders_W_TABLES_,0.5
Q117ShareholderLetterV2FINAL,0.25
Q2_17_Shareholder_Letter,0.25
Q213-Investor-Letter,0.5
Q216LettertoShareholders_FINAL_w_Tables,-0.25
Q2-19-Shareholder-Letter-FINAL,0.5
Q3_14_Letter_to_shareholders,0.25
Q3_17_Shareholder_Letter_COMBINED,0.5
Q313-Earnings-Letter-10,0.5
Q4_14_Letter_to_shareholders,0.25
Q4_15_Letter_to_Shareholders_-_COMBINED,0.25
Q4-13-Letter-to-shareholders,0.5
Q416ShareholderLetter,0.25
Q1_15_Earnings_Letter_final_tables,0
