profit_score,revenue_score,forecast_score,total_score,report,profit_manual,revenue_manual,forecast_manual,total_manual
0.865568713,0.410167206,0.075900139,0.508211848,FINAL-Q1-11-Shareholder-Letter,-0.384615385,-0.411764706,0.272727273,-0.214285714
0.132765049,0.353354679,0.242928255,0.163405827,FINAL-Q2-11-Shareholder-Letter,-0.692307692,-0.529411765,-0.090909091,-0.571428571
-1,-0.16075752,0.242536893,-0.731417565,FINAL-Q3-11-Shareholder-Letter,-1,-0.411764706,0.272727273,-0.5
0.104896578,-0.156242013,0.421664927,-0.160169303,FINAL-Q4-11-Shareholder-Letter,-0.230769231,-0.294117647,0.454545455,0
0.278167389,0.17177235,0.063439578,0.06077998,FINAL-Q1-12-Shareholder-Letter,0.384615385,0.058823529,0.090909091,0.357142857
0.429063709,0.13572568,-0.106067087,0.064677223,FINAL-Q2-12-Shareholder-Letter,1,-0.058823529,-0.272727273,0.428571429
0.565440888,0.354110375,0.602222255,0.458799856,FINAL-Q3-12-Shareholder-Letter,-0.230769231,-0.529411765,0.272727273,-0.214285714
-0.304195876,-0.135040589,0.064190531,-0.42863763,FINAL-Q4-12-Shareholder-Letter,-0.076923077,-0.058823529,0.454545455,0.214285714
-0.025809743,0.336027358,0.065712851,0.031860873,FINAL-Q1-13-Shareholder-Letter,-0.538461538,-0.176470588,0.272727273,-0.142857143
0.76253301,0.728592493,0.422366087,0.768074915,FINAL-Q2-13-Shareholder-Letter,-0.692307692,-0.411764706,0.090909091,-0.428571429
0.118130257,0.418503219,0.24265597,0.201808165,FINAL-Q3-13-Shareholder-Letter,-0.692307692,-0.411764706,0.090909091,-0.428571429
0.686773328,0.368733962,0.058280423,0.39025303,FINAL-Q4-13-Shareholder-Letter,-0.230769231,-0.411764706,0.272727273,-0.142857143
0.316792834,0.491190334,0.361892688,0.376399854,FINAL-Q1-14-Shareholder-Letter,-0.538461538,-0.411764706,0.090909091,-0.357142857
0.211114414,0.480652868,0.071416502,0.2462776,FINAL-Q2-14-Shareholder-Letter,-0.538461538,-0.411764706,0.090909091,-0.357142857
0.584386859,0.699604587,1,0.808142139,FINAL-Q3-14-Shareholder-Letter,-0.538461538,-0.058823529,0.272727273,-0.071428571
0.903723143,0.423704029,0.03574665,0.525660369,FINAL-Q4-14-Shareholder-Letter,-0.384615385,-0.411764706,-0.090909091,-0.357142857
0.74100841,0.479479807,0.486601505,0.600361985,FINAL-Q1-15-Shareholder-Letter,-0.692307692,-0.529411765,0.818181818,-0.214285714
0.771264539,0.736494002,0.89429889,0.895883673,FINAL-Q2-15-Shareholder-Letter,-0.692307692,-0.294117647,0.272727273,-0.285714286
0.581622646,0.608034299,0.658692369,0.657558913,FINAL-Q3-15-Shareholder-Letter,-0.846153846,-0.529411765,0.090909091,-0.571428571
0.444978173,0.548073816,0.736705756,0.570595832,FINAL-Q4-15-Shareholder-Letter,-0.384615385,-0.411764706,0.090909091,-0.285714286
0.409733095,0.608414954,0.008507927,0.413622157,FINAL-Q1-16-Shareholder-Letter,-0.692307692,-0.294117647,0.454545455,-0.214285714
0.513023369,0.681671519,0.000654062,0.511622688,FINAL-Q2-16-Shareholder-Letter,-0.692307692,-0.411764706,-1,-0.857142857
0.954116829,0.640087131,0.476665938,0.810721825,FINAL-Q3-16-Shareholder-Letter,-0.538461538,0.058823529,0.636363636,0.142857143
