pdf_name,polarity
COMBINED-Q4-17-Shareholder-Letter-FINAL,17
FINAL-Q1-18-Shareholder-Letter,6
FINAL-Q1-19-Shareholder-Letter,30
FINAL-Q1-20-Shareholder-Letter,3
FINAL-Q1-21-Shareholder-Letter,14
FINAL-Q1-22-Shareholder-Letter,28
Final-Q1-23-Shareholder-Letter,57
FINAL-Q2-18-Shareholder-Letter,14
FINAL-Q2-20-Shareholder-Letter-V3-with-Tables,16
FINAL-Q2-21-Shareholder-Letter,33
FINAL-Q2-22-Shareholder-Letter,36
FINAL-Q2-23-Shareholder-Letter,45
FINAL-Q3-18-Shareholder-Letter,16
FINAL-Q3-19-Shareholder-Letter,31
FINAL-Q3-20-Shareholder-Letter,29
FINAL-Q3-21-Shareholder-Letter,40
FINAL-Q3-22-Shareholder-Letter,30
FINAL-Q4-18-Shareholder-Letter,24
FINAL-Q4-19-Shareholder-Letter,28
FINAL-Q4-21-Shareholder-Letter,24
FINAL-Q4-22-Shareholder-Letter,61
FINAL-Q420-Shareholder-Letter,19
FINAL_Q2_15_Letter_to_Shareholders_With_Tables_,25
FINAL_Q3_15_Letter_to_Shareholders_With_Tables_,18
FINAL_Q3_Letter,26
Investor-Letter-Q1-2012,72
Investor-Letter-Q2-2012-07,50
Investor-Letter-Q3-2011,17
Investor-Letter-Q3-2012-10,66
Investor-Letter-Q4-2011,39
Investor-Letter-Q42012-01,65
Investor_Letter_Q12013,30
July-Investor-Letter-1130am,41
July2014EarningsLetter_7,23
Q1-11-Letter-to-shareholders,14
Q114-Earnings-Letter-4,42
Q116LettertoShareholders_W_TABLES_,39
Q117ShareholderLetterV2FINAL,24
Q1_15_Earnings_Letter_final_tables,26
Q2-19-Shareholder-Letter-FINAL,13
Q213-Investor-Letter,35
Q216LettertoShareholders_FINAL_w_Tables,28
Q2_17_Shareholder_Letter,20
Q313-Earnings-Letter-10,41
Q3_14_Letter_to_shareholders,41
Q3_17_Shareholder_Letter_COMBINED,33
Q4-13-Letter-to-shareholders,38
Q416ShareholderLetter,22
Q4_14_Letter_to_shareholders,50
Q4_15_Letter_to_Shareholders_-_COMBINED,22
