pdf_name,revenue_score,forecast_score,profit_score,polarity
COMBINED-Q4-17-Shareholder-Letter-FINAL,-7.24811589717865,-5.848517417907715,-6.594663202762604,-19.69129651784897
FINAL-Q1-18-Shareholder-Letter,-5.3004509806633,-5.1954644322395325,-2.033062696456909,-12.528978109359741
FINAL-Q1-19-Shareholder-Letter,-6.633042216300964,-3.8737653493881226,-2.02678906917572,-12.533596634864807
FINAL-Q1-20-Shareholder-Letter,-8.545602679252625,-5.142945408821106,-1.9871755838394165,-15.675723671913147
FINAL-Q1-21-Shareholder-Letter,-6.621797621250153,-6.368536829948425,-0.6554345488548279,-13.645769000053406
FINAL-Q1-22-Shareholder-Letter,-14.409301519393921,-6.483833074569702,-2.633384943008423,-23.526519536972046
Final-Q1-23-Shareholder-Letter,-16.907151699066162,-5.822917580604553,-3.9376699924468994,-26.667739272117615
FINAL-Q2-18-Shareholder-Letter,-7.975475788116455,-7.1105897426605225,-3.3703691959381104,-18.456434726715088
FINAL-Q2-20-Shareholder-Letter-V3-with-Tables,-7.954478204250336,-5.822434186935425,0.0,-13.77691239118576
FINAL-Q2-21-Shareholder-Letter,-6.533261954784393,-6.481631278991699,-1.941414475440979,-14.956307709217072
FINAL-Q2-22-Shareholder-Letter,-15.630027890205383,-7.067723631858826,-5.216901063919067,-27.914652585983276
FINAL-Q2-23-Shareholder-Letter,-18.353224217891693,-3.9127201437950134,-2.647252857685089,-24.913197219371796
FINAL-Q3-18-Shareholder-Letter,-7.850627362728119,-7.764956474304199,-1.9506496787071228,-17.56623351573944
FINAL-Q3-19-Shareholder-Letter,-10.389240682125092,-7.122182130813599,-1.2536120414733887,-18.76503485441208
FINAL-Q3-20-Shareholder-Letter,-3.970876634120941,-6.5132792592048645,-1.3263587951660156,-11.810514688491821
FINAL-Q3-21-Shareholder-Letter,-4.6346927881240845,-5.085955560207367,0.0,-9.720648348331451
FINAL-Q3-22-Shareholder-Letter,-15.57967883348465,-7.048625886440277,-5.318869173526764,-27.94717389345169
FINAL-Q4-18-Shareholder-Letter,-8.623350083827972,-5.161237895488739,-4.0703325271606445,-17.854920506477356
FINAL-Q4-19-Shareholder-Letter,-4.678366839885712,-5.848849713802338,-0.649884819984436,-11.177101373672485
FINAL-Q4-21-Shareholder-Letter,-7.314458191394806,-7.066513121128082,-0.6515238881111145,-15.032495200634003
FINAL-Q4-22-Shareholder-Letter,-14.350564122200012,-5.172291994094849,-5.9404802322387695,-25.46333634853363
FINAL-Q420-Shareholder-Letter,-7.920891106128693,-4.556737124919891,-1.315174162387848,-13.792802393436432
FINAL_Q2_15_Letter_to_Shareholders_With_Tables_,-4.718240559101105,-4.50620174407959,-4.66392582654953,-13.888368129730225
FINAL_Q3_15_Letter_to_Shareholders_With_Tables_,-3.3914328813552856,-6.440321683883667,-4.692277908325195,-14.524032473564148
FINAL_Q3_Letter,-10.634399056434631,-7.138707756996155,-4.669290125370026,-22.44239693880081
Investor-Letter-Q1-2012,-3.2590540647506714,-1.2993232607841492,-10.457135260105133,-15.015512585639954
Investor-Letter-Q2-2012-07,-3.2492660880088806,-1.9671645760536194,-9.829782485961914,-15.046213150024414
Investor-Letter-Q3-2011,-3.9011022448539734,-0.6474758386611938,-8.52058631181717,-13.069164395332336
Investor-Letter-Q3-2012-10,-1.979081392288208,-0.6472775936126709,-5.959513306617737,-8.585872292518616
Investor-Letter-Q4-2011,-5.225739657878876,-1.303318977355957,-7.1905569434165955,-13.719615578651428
Investor-Letter-Q42012-01,-2.6083004474639893,-1.312247633934021,-4.602546334266663,-8.523094415664673
Investor_Letter_Q12013,-4.549503445625305,-1.2889519929885864,-7.216065526008606,-13.054520964622498
July-Investor-Letter-1130am,-4.660112082958221,-0.6639487147331238,-3.9014002680778503,-9.225461065769196
July2014EarningsLetter_7,-3.3295458555221558,-1.265784204006195,-1.9479091167449951,-6.543239176273346
Q1-11-Letter-to-shareholders,-5.895755290985107,-1.2845737934112549,-2.6574764251708984,-9.83780550956726
Q114-Earnings-Letter-4,-3.293225049972534,-1.2828664183616638,-3.2718371748924255,-7.8479286432266235
Q116LettertoShareholders_W_TABLES_,-2.622106194496155,-6.463549613952637,-2.633276045322418,-11.71893185377121
Q117ShareholderLetterV2FINAL,-8.566813051700592,-3.881702184677124,-4.652497351169586,-17.101012587547302
Q1_15_Earnings_Letter_final_tables,-4.665893971920013,-7.044564664363861,-3.9871004819869995,-15.697559118270874
Q2-19-Shareholder-Letter-FINAL,-7.333732545375824,-8.430849552154541,-2.714517116546631,-18.479099214076996
Q213-Investor-Letter,-3.965616822242737,0.0,-2.6011924147605896,-6.566809237003326
Q216LettertoShareholders_FINAL_w_Tables,-3.949075400829315,-10.407875061035156,-6.5644044280052185,-20.92135488986969
Q2_17_Shareholder_Letter,-5.973933517932892,-5.8652671575546265,-5.967609167098999,-17.806809842586517
Q313-Earnings-Letter-10,-1.9977839589118958,-0.6574296355247498,-3.9296764731407166,-6.584890067577362
Q3_14_Letter_to_shareholders,-4.617066502571106,-9.751964569091797,-3.233891725540161,-17.602922797203064
Q3_17_Shareholder_Letter_COMBINED,-5.334497034549713,-5.182049751281738,-5.341771721839905,-15.858318507671356
Q4-13-Letter-to-shareholders,-2.6246337294578552,-4.517773866653442,-3.8785369396209717,-11.02094453573227
Q416ShareholderLetter,-6.637353718280792,-7.767264366149902,-5.311154901981354,-19.71577298641205
Q4_14_Letter_to_shareholders,-1.9582673907279968,-5.096741259098053,-3.903716206550598,-10.958724856376648
Q4_15_Letter_to_Shareholders_-_COMBINED,-3.302442789077759,-5.12578946352005,-2.630979537963867,-11.059211790561676
