pdf_name,revenue_score,forecast_score,profit_score,polarity
COMBINED-Q4-17-Shareholder-Letter-FINAL,-2.0583187034353614,-0.8961201021447778,-1.3028895501047373,-4.257328355684876
FINAL-Q1-18-Shareholder-Letter,-0.5056517440825701,-1.3499047812074423,-0.16225358471274376,-2.017810110002756
FINAL-Q1-19-Shareholder-Letter,-0.6434406246989965,-0.4190242700278759,-0.14195219613611698,-1.2044170908629894
FINAL-Q1-20-Shareholder-Letter,-3.015675051137805,-1.7779533974826336,-0.051738109439611435,-4.84536655806005
FINAL-Q1-21-Shareholder-Letter,-0.4706769082695246,-1.835022697225213,-0.017592405900359154,-2.323292011395097
FINAL-Q1-22-Shareholder-Letter,-1.7269715564325452,-2.9516494162380695,-0.09080698434263468,-4.769427957013249
Final-Q1-23-Shareholder-Letter,-1.4626271165907383,-2.741202464327216,-0.9375270549207926,-5.141356635838747
FINAL-Q2-18-Shareholder-Letter,-0.9092797050252557,-3.8303076960146427,-0.4795018099248409,-5.219089210964739
FINAL-Q2-20-Shareholder-Letter-V3-with-Tables,-0.5601951526477933,-0.6411372758448124,0.0,-1.2013324284926057
FINAL-Q2-21-Shareholder-Letter,-0.44336412381380796,-0.7967205755412579,-0.06985319219529629,-1.309937891550362
FINAL-Q2-22-Shareholder-Letter,-2.688350494019687,-2.7524608708918095,-1.7836679350584745,-7.224479299969971
FINAL-Q2-23-Shareholder-Letter,-1.8265788797289133,-0.8939190823584795,-0.1590229794383049,-2.8795209415256977
FINAL-Q3-18-Shareholder-Letter,-0.5196037730202079,-2.153124261647463,-0.5359235983341932,-3.208651633001864
FINAL-Q3-19-Shareholder-Letter,-1.41972397826612,-2.498347971588373,-0.04888622835278511,-3.9669581782072783
FINAL-Q3-20-Shareholder-Letter,-0.29560245387256145,-2.4047159925103188,-0.06139242649078369,-2.761710872873664
FINAL-Q3-21-Shareholder-Letter,-0.4232273120433092,-1.9932993296533823,0.0,-2.4165266416966915
FINAL-Q3-22-Shareholder-Letter,-4.621892354916781,-3.7782973758876324,-2.883248140104115,-11.283437870908529
FINAL-Q4-18-Shareholder-Letter,-0.8591488236561418,-0.608144560828805,-0.5252568814903498,-1.9925502659752965
FINAL-Q4-19-Shareholder-Letter,-1.2903289953246713,-1.5647463910281658,-0.009537816047668457,-2.8646132024005055
FINAL-Q4-21-Shareholder-Letter,-0.9055547649040818,-3.195154558867216,-0.01657325029373169,-4.11728257406503
FINAL-Q4-22-Shareholder-Letter,-1.6010188120417297,-2.074141977354884,-0.24505657330155373,-3.9202173626981676
FINAL-Q420-Shareholder-Letter,-0.6302566425874829,-0.36957722529768944,-0.06719695124775171,-1.067030819132924
FINAL_Q2_15_Letter_to_Shareholders_With_Tables_,-0.34683633223176,-0.8638256136327982,-0.32834854256361723,-1.5390104884281754
FINAL_Q3_15_Letter_to_Shareholders_With_Tables_,-0.32571204751729965,-2.0433730725198984,-1.4212182248011231,-3.790303344838321
FINAL_Q3_Letter,-1.5169062353670597,-2.0866797976195812,-0.6259405054152012,-4.229526538401842
Investor-Letter-Q1-2012,-1.2017336655408144,-0.9984871800988913,-2.9386683059856296,-5.138889151625335
Investor-Letter-Q2-2012-07,-2.1107242153957486,-1.5652625858783722,-1.2595815164968371,-4.935568317770958
