pdf_name,subjectivity
COMBINED-Q4-17-Shareholder-Letter-FINAL,37.0
FINAL-Q1-18-Shareholder-Letter,29.100000381469727
FINAL-Q1-19-Shareholder-Letter,25.799999237060547
FINAL-Q1-20-Shareholder-Letter,49.79999923706055
FINAL-Q1-21-Shareholder-Letter,29.0
FINAL-Q1-22-Shareholder-Letter,36.900001525878906
Final-Q1-23-Shareholder-Letter,29.799999237060547
FINAL-Q2-18-Shareholder-Letter,27.200000762939453
FINAL-Q2-20-Shareholder-Letter-V3-with-Tables,59.5
FINAL-Q2-21-Shareholder-Letter,36.70000076293945
FINAL-Q2-22-Shareholder-Letter,54.599998474121094
FINAL-Q2-23-Shareholder-Letter,62.5
FINAL-Q3-18-Shareholder-Letter,25.100000381469727
FINAL-Q3-19-Shareholder-Letter,46.79999923706055
FINAL-Q3-20-Shareholder-Letter,26.899999618530273
FINAL-Q3-21-Shareholder-Letter,34.20000076293945
FINAL-Q3-22-Shareholder-Letter,52.0
FINAL-Q4-18-Shareholder-Letter,33.70000076293945
FINAL-Q4-19-Shareholder-Letter,32.400001525878906
FINAL-Q4-21-Shareholder-Letter,35.20000076293945
FINAL-Q4-22-Shareholder-Letter,68.0999984741211
FINAL-Q420-Shareholder-Letter,35.599998474121094
FINAL_Q2_15_Letter_to_Shareholders_With_Tables_,25.600000381469727
FINAL_Q3_15_Letter_to_Shareholders_With_Tables_,24.799999237060547
FINAL_Q3_Letter,38.79999923706055
Investor-Letter-Q1-2012,85.0
Investor-Letter-Q2-2012-07,71.9000015258789
Investor-Letter-Q3-2011,42.0
Investor-Letter-Q3-2012-10,4.0
Investor-Letter-Q4-2011,68.30000305175781
Investor-Letter-Q42012-01,64.30000305175781
Investor_Letter_Q12013,46.5
July-Investor-Letter-1130am,53.599998474121094
July2014EarningsLetter_7,26.200000762939453
Q1-11-Letter-to-shareholders,50.20000076293945
Q114-Earnings-Letter-4,29.5
Q116LettertoShareholders_W_TABLES_,42.20000076293945
Q117ShareholderLetterV2FINAL,29.200000762939453
Q1_15_Earnings_Letter_final_tables,49.0
Q2-19-Shareholder-Letter-FINAL,28.100000381469727
Q213-Investor-Letter,85.80000305175781
Q216LettertoShareholders_FINAL_w_Tables,40.0
Q2_17_Shareholder_Letter,33.599998474121094
Q313-Earnings-Letter-10,57.79999923706055
Q3_14_Letter_to_shareholders,50.29999923706055
Q3_17_Shareholder_Letter_COMBINED,28.0
Q4-13-Letter-to-shareholders,80.0
Q416ShareholderLetter,27.399999618530273
Q4_14_Letter_to_shareholders,78.80000305175781
Q4_15_Letter_to_Shareholders_-_COMBINED,32.400001525878906
