Quater,Date,Open,High,Low,Close,Adj Close,Volume
FINAL-Q2-23-Shareholder-Letter,19/07/2023,476.86,485,470,477.59,477.59,20210900
FINAL-Q1-23-Shareholder-Letter,18/04/2023,335,337.190002,330.5,333.700012,333.700012,17944500
FINAL-Q4-22-Shareholder-Letter,19/01/2023,322.570007,324.890015,313.390015,315.779999,315.779999,18008200
FINAL-Q3-22-Shareholder-Letter,18/10/2022,249.800003,250.369995,237.729996,240.860001,240.860001,25776700
FINAL-Q2-22-Shareholder-Letter,19/07/2022,193.020004,201.970001,188.399994,201.630005,201.630005,28178700
FINAL-Q1-22-Shareholder-Letter,19/04/2022,333.220001,351.679993,333.220001,348.609985,348.609985,20906900
FINAL-Q4-21-Shareholder-Letter,20/01/2022,517.75,526.640015,506.929993,508.25,508.25,12659000
FINAL-Q3-21-Shareholder-Letter,19/10/2021,636.969971,641,632.299988,639,639,7633100
FINAL-Q2-21-Shareholder-Letter,20/07/2021,526.07,536.64,520.3,"531.05	",531.05,"6,930,400"
FINAL-Q1-21-Shareholder-Letter,20/04/2021,"554.42	",563.56,546.3,"549.57	",549.57,"11,257,600"
FINAL-Q4-20-Shareholder-Letter,19/01/2021,501,509.25,493.540009,501.769989,501.769989,12315800
FINAL-Q3-20-Shareholder-Letter,20/10/2020,528.140015,533.780029,522.26001,525.419983,525.419983,10047200
FINAL-Q2-20-Shareholder-Letter,16/07/2020,526.47998,535.539978,504.359985,527.390015,527.390015,24499000
FINAL-Q1-20-Shareholder-Letter,21/04/2020,444.769989,447,425.600006,433.829987,433.829987,23177600
FINAL-Q4-19-Shareholder-Letter,21/01/2020,340,341,332.589996,338.109985,338.109985,14350300
FINAL-Q3-19-Shareholder-Letter,16/10/2019,283.119995,288.170013,280.73999,286.279999,286.279999,16175900
FINAL-Q2-19-Shareholder-Letter,17/07/2019,366.25,366.5,361.75,362.440002,362.440002,13639500
FINAL-Q1-19-Shareholder-Letter,16/04/2019,355,364.480011,352.720001,359.459991,359.459991,18740200
FINAL-Q4-18-Shareholder-Letter,17/01/2019,349.5,355.790009,346.410004,353.190002,353.190002,18871200
FINAL-Q3-18-Shareholder-Letter,16/10/2018,337.23999,347.950012,330.559998,346.399994,346.399994,20156400
FINAL-Q2-18-Shareholder-Letter,16/07/2018,398.980011,403.359985,391.75,400.480011,400.480011,22960000
FINAL-Q1-18-Shareholder-Letter,16/04/2018,315.98999,316.100006,304,307.779999,307.779999,20307900
FINAL-Q4-17-Shareholder-Letter,22/01/2018,222,227.789993,221.199997,227.580002,227.580002,17703300
FINAL-Q3-17-Shareholder-Letter,16/10/2017,201.949997,202.830002,197.860001,202.679993,202.679993,22105400
FINAL-Q2-17-Shareholder-Letter,17/07/2017,162.910004,163.550003,160.020004,161.699997,161.699997,17496700
FINAL-Q1-17-Shareholder-Letter,17/04/2017,144.429993,147.320007,144.429993,147.25,147.25,16364700
FINAL-Q4-16-Shareholder-Letter,18/01/2017,133.210007,133.649994,131.059998,133.259995,133.259995,16168600
FINAL-Q3-16-Shareholder-Letter,17/10/2016,100.5,100.730003,98.379997,99.800003,99.800003,26589500
FINAL-Q2-16-Shareholder-Letter,18/07/2016,98.43,99.839996,97.239998,98.809998,98.809998,28669700
FINAL-Q1-16-Shareholder-Letter,18/04/2016,109.900002,110.699997,106.019997,108.400002,108.400002,32816400
