report,average_rating
FINAL-Q3-16-Shareholder-Letter,0.483333333
FINAL-Q1-11-Shareholder-Letter,0.433333333
FINAL-Q1-12-Shareholder-Letter,0
FINAL-Q1-13-Shareholder-Letter,0
FINAL-Q1-14-Shareholder-Letter,0.333333333
FINAL-Q1-14-Shareholder-Letter,0.166666667
FINAL-Q1-15-Shareholder-Letter,0.333333333
FINAL-Q1-16-Shareholder-Letter,0.5
FINAL-Q1-17-Shareholder-Letter,0.433333333
FINAL-Q1-18-Shareholder-Letter,0.5
FINAL-Q1-19-Shareholder-Letter,0.416666667
FINAL-Q1-20-Shareholder-Letter,0
FINAL-Q1-21-Shareholder-Letter,0.416666667
FINAL-Q1-22-Shareholder-Letter,-0.083333333
FINAL-Q1-23-Shareholder-Letter,0.516666667
FINAL-Q2-11-Shareholder-Letter,0.333333333
FINAL-Q2-12-Shareholder-Letter,0.416666667
FINAL-Q2-13-Shareholder-Letter,0.483333333
FINAL-Q2-14-Shareholder-Letter,0.483333333
FINAL-Q2-15-Shareholder-Letter,0.333333333
FINAL-Q2-16-Shareholder-Letter,0.166666667
FINAL-Q2-17-Shareholder-Letter,0.416666667
FINAL-Q2-18-Shareholder-Letter,0.333333333
FINAL-Q2-19-Shareholder-Letter,0.166666667
FINAL-Q2-20-Shareholder-Letter,0.333333333
FINAL-Q2-21-Shareholder-Letter,0.333333333
FINAL-Q2-22-Shareholder-Letter,0.333333333
FINAL-Q2-23-Shareholder-Letter,0.416666667
FINAL-Q3-11-Shareholder-Letter,-0.083333333
FINAL-Q3-12-Shareholder-Letter,0.25
FINAL-Q3-13-Shareholder-Letter,0.516666667
FINAL-Q3-14-Shareholder-Letter,0.416666667
FINAL-Q3-15-Shareholder-Letter,0.166666667
FINAL-Q3-17-Shareholder-Letter,0.433333333
FINAL-Q3-18-Shareholder-Letter,0.416666667
FINAL-Q3-19-Shareholder-Letter,0.25
FINAL-Q3-20-Shareholder-Letter,-0.083333333
FINAL-Q3-21-Shareholder-Letter,0.5
FINAL-Q3-22-Shareholder-Letter,0.416666667
FINAL-Q4-12-Shareholder-Letter,0.4
FINAL-Q4-13-Shareholder-Letter,0.566666667
FINAL-Q4-14-Shareholder-Letter,0.433333333
FINAL-Q4-15-Shareholder-Letter,0.416666667
FINAL-Q4-16-Shareholder-Letter,0.483333333
FINAL-Q4-17-Shareholder-Letter,0.6
FINAL-Q4-18-Shareholder-Letter,0.416666667
FINAL-Q4-19-Shareholder-Letter,0.416666667
FINAL-Q4-20-Shareholder-Letter,0.566666667
FINAL-Q4-21-Shareholder-Letter,0.25
FINAL-Q4-22-Shareholder-Letter,0.316666667
