url,author,heading,date,time,article_text
https://www.ft.com/content/fda9fa7b-3a4c-4a16-b384-7867b0974074,Anna Nicolaou,Netflix’s password-sharing crackdown pays off with nearly 6mn new subscribers,2023-07-19,21:37:20,"A crackdown on password sharing helped Netflix add nearly 6mn subscribers, more than double what analysts had forecast and validating the streamer’s strategy to shore up its business.
After shocking investors by losing subscribers last year, Netflix has responded with two big steps: introducing a cheaper version of its service with advertisements, and trying to limit password sharing, a practice it had largely ignored when growth was high.
Netflix in May cracked down on password sharing for accounts in the US, UK and more than 100 other countries. In the US, Netflix has told customers that if they want to share their password, they must pay $7.99 a month to add a person outside their home, or $6.99 if they are prepared to have an account with adverts.
That policy appears to be working. In the three months to the end of June, Netflix added 5.9mn subscribers, well above Wall Street expectations for 2mn. “The cancel reaction was low,” the company told investors on Wednesday. 
However, shares in Netflix, which had gained more than 8 per cent in the five days leading up to the earnings release, dropped more than 8 per cent in post-market trading after the company reported softer revenue. 
Netflix’s quarterly revenue rose to $8.2bn, up 3 per cent from a year ago but just short of forecasts for $8.3bn. The company predicted that revenue would climb to $8.5bn in the current quarter, missing analysts’ forecasts for $8.7bn. 
Netflix’s password crackdown reflects the harsh realities of the costly streaming model that it has pioneered. When Wall Street was more keen on streaming, investors looked past the heavy losses companies were enduring, so long as they were able to keep adding subscribers quickly. 
But as the wider market has cooled, investors are more focused on profits. Competition has heated up, with Disney and others vying with Netflix for customers.
Recommended
Netflix is profitable, while Disney+, Paramount+ and other rival streaming services are still losing money. Netflix on Wednesday reported quarterly net income of $1.5bn, up 3 per cent from the same period a year ago.
The company said it would spend less money this year due to the historic labour strike in Hollywood, which has brought movie and television production in the US to a halt. Netflix now expects free cash flow of $5bn this year, up from its previous estimate of $3.5bn. 
Many workers have blamed Netflix for ushering in a streaming revolution that has made it difficult for screenwriters to make a decent living. On an earnings call, co-chief executive Ted Sarandos said the strike was “not an outcome that we wanted”, while highlighting his father’s ties to unions. 
“On a personal level, I was raised in a union household. My dad was a member of IBEW Local 640, he was a union electrician . . . I remember on more than one occasion my dad being out on strike, and I remember that because it takes an enormous toll on your family, financially and emotionally,” he said.
Paolo Pescatore, analyst at PP Foresight, said the results were “a strong endorsement” of Netflix’s password strategy, but cautioned that the crackdown was a “short-term measure”. Netflix “needs to consider its pricing strategy for the mid to long term”, he said. 
After tumbling last year, Netflix shares have made a comeback in 2023, gaining more than 60 per cent.
“While we’ve made steady progress this year, we have more work to do to reaccelerate our growth,” Netflix told shareholders in a letter.
Highlight
Remove highlight
"
https://www.ft.com/content/1cc91834-ef81-4a5d-9efd-edc5146ba1a3,Akito Tanaka,US tech can’t quit China and Netflix dives into Asia,2023-07-13,07:26:38,"Hello everyone, this is Akito from Singapore.
In the mid-1980s, when I was a child, my family moved from Japan to Europe for my father’s work. This was in the midst of the cold war, and I remember vividly that the Japan Airlines flight we took to Europe went via Anchorage, Alaska. However, when we returned to Japan a few years later, our plane flew over the Soviet Union as tensions were easing.
About 20 years later, I was in Silicon Valley as a Nikkei reporter and globalisation was advancing at a breathtaking pace. Entrepreneurs flocked to the area from around the world, including China and Russia, while US venture capitalists started investing in Chinese tech companies. Around the same time, American tech companies began using China as a major production base. Looking back, those were the “good old days”, when the distance between markets was shrinking rapidly.
“In the long history of international relations, the ‘good old days’ you experienced in the Valley are rare,” a former diplomat here in Singapore told me a few months back. He pointed to past examples of conflict between powerful nations, such as second world war and the cold war.
Unfortunately, he also had a current example: the growing tensions between the US and China.
Those tensions are raising tough questions for US tech companies. Many of them still depend on China for much of their sales, write Nikkei staff writers Akito Tanaka and Grace Li.
An analysis of financial data by Nikkei Asia shows that of the top 100 global companies in China by sales in the most recent fiscal year, 17 were US tech-related companies.
Apple topped the list, while Qualcomm, a major US chip company, depends on China for more than 60 per cent of its sales. Electric-car maker Tesla relies on China for over 20 per cent of its sales.
This dependence on China has changed little despite efforts at decoupling the two countries’ tech supply chains. Greater China remains Apple’s second-largest source of revenue, following the company’s home market. For Tesla, China’s importance has grown by leaps and bounds. In 2022 it made 22 per cent of its total sales in the country, up from 8 per cent in 2018.
Like the former diplomat who sees tension as more common than harmony in the global order, many analysts expect the US-China conflict to continue. Leaders of US tech companies whose strategy has been to court the Chinese market will have to “accept that a new status quo is forming”, according to one such expert.
Join us on July 20 for a webinar featuring Chris Miller, author of the award-winning book ‘Chip War’, and Nikkei Asia’s tech journalists. Register here for an inside look at the global battle for semiconductor dominance.
China plans to tighten its rules governing artificial intelligence as Beijing seeks to strike a balance between encouraging developers to advance the technology and a desire to control content, writes the Financial Times’ Qianer Liu.
The Cyberspace Administration of China, the powerful internet watchdog, aims to introduce measures that will require companies to obtain approval before they release generative AI products, said people close to the regulators.
The update is part of regulations to be finalised as early as this month, according to people with knowledge of the move.
It contrasts with draft regulations issued in April that gave tech companies 10 working days to register their products once they had launched them. That document demands companies train their generative AI models with “veracity, accuracy, objectivity and diversity” and makes them almost fully responsible for the content their AI creates.
The latest move in China’s AI regulatory regime signals how the government is struggling to reconcile a desire to develop world-beating technologies with its longstanding censorship regime.
Beijing is keen to formalise its regulatory approach to generative AI before the technology — which can quickly create humanlike text, images and other content in response to simple prompts — becomes widespread.
China’s artificial intelligence boom is proving a strong pull for US companies, even as the two countries engage in tit-for-tat trade restrictions on tech-related goods and materials.
The recent World Artificial Intelligence Conference in Shanghai drew executives from Tesla, Microsoft and other big American companies looking to tap the country’s emerging AI market, write Nikkei staff writers Tomoko Wakasugi and Shunsuke Tabeta.
“I think there’s an immense number of very smart, very talented people in China,” Tesla CEO Elon Musk said in a video message at the event. Google had a booth at the venue — despite its services being blocked in China — while executives from Microsoft appeared on stage.
US tech has its sights set on China despite the souring relationship between Washington and Beijing because of the potential scale of its AI market, which market researcher IDC forecasts to more than double between 2022 and 2026 to $26.4bn.
Netflix co-founder Reed Hastings once said in an interview with Nikkei that one of his favourite series is Midnight Diner, a show based on a Japanese manga.
Now, the company is investing heavily to create new content in Asian markets like South Korea, Japan and India, recruiting new partners and searching for emerging talent to capture audiences in the increasingly important region, write Nikkei staff writers Rei Nakafuji and Kotaro Hosokawa.
Netflix co-CEO Ted Sarandos visited Seoul last month and met with production company executives and creators as part of the trip. The company signed a five-year contract with Yuji Sakamoto, who won best screenplay for the film Kaibutsu (Monster) at this year’s Cannes Film Festival.
In India, Netflix signed a multiyear contract with director Hansal Mehta following the success of his crime drama Scoop
Netflix’s Asia push comes as the platform faces cut-throat competition at home, slowing growth. Revenue increased about 4 per cent on the year to $8.16bn in January-March, falling short of market expectations. Net profit dropped 18 per cent to $1.31bn.
Nvidia in talks to be an anchor investor in Arm IPO (FT)
Foxconn withdraws from $19.5bn chip JV with India’s Vedanta (Nikkei Asia)
Apple’s headset headache: the tiny and costly displays inside the Vision Pro (FT)
Huawei unveils latest AI model as ChatGPT boom rolls on (Nikkei Asia)
Indian ride-hailing upstart BluSmart takes on Uber with electric cars (FT)
Japan to give $530mn for new Sumco silicon wafer plants at home (Nikkei Asia)
Shenzhen, China’s ‘city of young migrants,’ at point of inflection (Nikkei Asia)
Ant Group launches $6bn buyback after regulatory crackdown ends (FT)
Byju’s taught a lesson by investors unhappy with online learning group (FT)
Sony dives into ‘extended reality’ with $2bn R&D war chest (Nikkei Asia)
#techAsia is co-ordinated by Nikkei Asia’s Katherine Creel in Tokyo, with assistance from the FT tech desk in London. 
Sign up here at Nikkei Asia to receive #techAsia each week. The editorial team can be reached at techasia@nex.nikkei.co.jp.
Highlight
Remove highlight
"
https://www.ft.com/content/dc79eecf-ed3c-486a-8b89-60c67b6ff10a,Daniel Thomas,Netflix to revamp advertising strategy to lure brands and boost revenues,2023-07-03,04:00:10,"Netflix will develop increasingly targeted and tailor-made advertising formats to win over marketing bosses as it seeks to boost revenues in its recently launched advertising supported service.
The US streaming service held talks with global advertising executives about new plans at this year’s Cannes Lions festival in the south of France after launching the ad-supported service last year. 
Advertising executives said innovations could include “episodic” campaigns that would see a series of different but related sequential ads to consumers, which would avoid the common complaint of consumers of being shown the same ad multiple times when watching a series. These could be shown during related shows — for example, light entertainment — but not others.
Netflix was a prominent presence at the vast festival of advertising in its first year at the event, hosting a party in a branded hotel on the seafront and an event with ex-footballer David Beckham. 
Netflix co-chief executive Greg Peters and Jeremi Gorman, president of worldwide advertising at Netflix, spent the week in France courting advertising bosses and brands, according to multiple advertising executives.
They said that their counterparts at Netflix outlined how the US media giant would introduce sophisticated ways for brands to advertise as part of a long-term strategy to redefine how streamers can use their platforms for commercial purposes. This includes allowing brands to more directly target advertising to consumers in ways not possible on linear TV channels.
One Hollywood marketing executive said that the partnership to use Microsoft’s technology was also likely to come to an end next year, which would allow Netflix greater ability to innovate. 
“They’re building [their own technology] in the background. Once they have their own they’ll do free standing. Microsoft is the interim ad server, but that’ll change when they build their own,” he said. 
“The plan for Netflix was just to get to market quickly last year. This is not the final way they’re going to do it. They are going to be very creative. There’s going to be a better, a different experience.”
One advertising boss said Netflix would be able to use its data on customers to create more bespoke marketing, albeit in ways still safeguarding customer data protections. 
“They’ll know what you’ve seen,” he said. “So the old days of making episodic work may be back because before you could never guarantee what people have seen already. Now you can write 15 episodes of an advert and guarantee that the viewer will see them in the right order. So that’s really interesting.”
Another advertising chief said Netflix now made more money per user on its advertising plans than in the standard tier. He said brands had been positive on the idea of using Netflix to market their products, although he added that the size of the audience was still small.
“Streaming services thought it would devalue their offer. But actually, it’s massively expanded the reach. Brands are extremely keen to be associated with the Netflix content and now they’re starting to think about much more innovation around the format, much more strategic partnerships.”
Another advertising executive said: “What level of targeting that they start to apply could get really, really interesting. We were keen for some of our brands to use it so that we could see what was coming [but] we can’t correlate exposure to Netflix to sales — it’s just too small. But you can get learning about who saw your ads.”
Netflix is also seeking to build out its gaming business to include advertising, noted another ad executive. Others added that they expected Apple to follow Netflix and introduce advertising alongside its shows and products. Netflix and Microsoft declined to comment.
Highlight
Remove highlight
"
https://www.ft.com/content/a85f2d38-1889-4108-92af-525ed924b133,Christopher Grimes,Netflix is taking a necessary risk in tackling its 100mn freeloaders,2023-05-26,04:00:49,"When Netflix co-founder Reed Hastings declared in 2016 “we love people sharing” accounts, the company had a commanding lead in the streaming business and four years of blistering growth ahead of it. No one had yet heard of Disney Plus or the streaming wars. 
But after the platform lost subscribers early last year, Hastings called time on this breezy attitude towards password sharing, which has given rise to an estimated 100mn Netflix freeloaders around the world. 
In recent days, the company has launched password crackdowns in the US, UK and more than 100 other countries. In the US, it has told customers that if they want to share their password, they must pay $7.99 a month to add a person outside their home, or $6.99 if they are prepared to have an account with adverts. 
The crackdown plus the new push into advertising reflect the tough realities of the streaming business model that Netflix pioneered. In the boom times, investors were willing to overlook eight- or nine-figure quarterly losses as long as subscription growth was strong. Now, however, new sign-ups have slowed and competition is intense. In the US, the average household has 5.5 streaming subscriptions, notes Jennifer Chan, global strategic director at research group Kantar. 
“Overall household streaming penetration hasn’t changed very much since the end of Covid,” Chan said. “So the focus for streamers now is on retaining their current customer base and becoming the priority subscription so that consumers aren’t cancelling — and if they are, how do you win them back.” 
Investors meanwhile want to see a path to profitability, putting serious pressure on most of the major streaming services to slash costs and come up with new strategies to generate cash. 
Netflix is profitable, but Disney Plus, Paramount Plus and NBCUniversal’s Peacock are still racking up hefty losses. Warner Bros Discovery, which aggressively cut costs after the companies were combined in a $40bn merger last year, recently told investors it expected to turn a profit in its streaming business a full year ahead of schedule and that this part of the business made $50mn in profit in the most recent quarter. 
Like Netflix, Warner has been making big changes to its streaming service. On Tuesday it combined its HBO Max service — home of Succession, White Lotus and Game of Thrones — with Discovery Plus, which specialises in low-cost unscripted programming such as 90-Day Fiancé. The combined service was renamed Max, and the company hopes the broader offering will increase customer numbers and engagement. 
Disney chief executive Bob Iger plans a similar move later this year by merging child-friendly Disney Plus and Hulu, which focuses on general entertainment aimed at adults, into one app. Iger said this would boost sales of Disney’s with-adverts subscription packages, another step towards reaching its goal of turning a profit in streaming next year. In the meantime he must also address investor worries about subscriber growth — the company’s streaming services have lost customers for the past two quarters. 
Netflix may face similar problems of retaining customers as it cuts password sharing options. In early trials, Netflix said some users dumped the service, with as many as 1mn cancellations in Spain alone, according to Kantar. While many return — either adding new accounts or opting for the cheaper ad-supported version — there is still some risk, Chan says. 
“If people are to cancel their subscription, they will be exposed to life without Netflix” and perhaps switch to other services, she said. “I think people will come back, but they may not regain their whole subscriber base.” 
Highlight
Remove highlight
"
https://www.ft.com/content/13f719af-b406-4c53-b283-d91e002dde5a,Daniel Thomas,Netflix alerts telecoms groups over looming account-sharing crackdown,2023-05-16,10:00:32,"Netflix has held talks with UK telecoms groups that carry the streaming group’s service ahead of a crackdown on account sharing expected later this month.
The US group, which has said the free use of its platform has hit its ability to invest in new TV and films, plans to start warning customers over account-sharing violations in the coming weeks, according to people familiar with the situation. 
Telecoms groups that use Netflix as part of bundled TV content have held meetings in the past week over the planned warnings, people familiar with the talks said. Companies such as Sky, BT, Virgin Media and TalkTalk offer Netflix as part of bundled deals on broadband and TV content.
But those close to the talks said there was a risk of complaints from some subscribers, many of whom have grown accustomed to sharing their account details with family and friends, activity to which the company had previously turned a blind eye. One person described it as being a “good partner” to groups that offer the service as part of their subscriptions.
Telecoms companies’ call centres are likely to field questions and complaints once the plans are enacted, according to a person familiar with the issue, which has meant that they have needed close co-operation with Netflix.
The company had sought to ensure its partners were kept informed about its plans as they progressed over the past few months, one person close to the talks added.
Once the account-sharing crackdown begins, customers will be encouraged to set a primary location that will mean anyone who lives in their household can use their Netflix account, according to the people. 
If it finds the account is being used outside that primary location, the account holder will be emailed about the extra usage, with “interstitials” related to the matter inserted into the start of programming.
The warnings will roll out across most of its major markets, including the US and UK, in a move to stop non-subscribers from freely using customers’ passwords and instead turn them into paying customers.
Netflix in April estimated that more than 100mn households around the world shared accounts with other users.
The company was forced to delay the planned rollout of its crackdown on account sharing from the first to the second quarter of the year.
Recommended
After clampdowns in Canada, New Zealand, Spain and Portugal in the first quarter, Netflix said in a letter to shareholders that its new “paid sharing” service — in which customers share their account with people outside their household for a fee — had resulted in a “cancel reaction” that led to lower membership growth.
But Netflix said that after the initial drop-off, subscribers soon started adding “extra member” accounts, boosting revenues and persuading management that it was taking “the right approach”.
In Canada, the paid subscriber base was now higher than before the launch of the paid sharing service, the company said.
The streaming service is seeking to improve profitability in the face of rising competition from rivals such as Disney and Apple. Netflix declined to comment.
Additional reporting by Christopher Grimes in Los Angeles

Highlight
Remove highlight
"
https://www.ft.com/content/64279611-9c8e-4ee5-ae52-6e25b76847d1,Moira O’Neill,Can Netflix really teach us ‘how to get rich’?,2023-05-12,09:56:15,"The cost of living crisis and inflation are today’s biting financial challenges, leading many of us to turn to friends, family or financial advisers for guidance. 
But millions are also turning to the streaming services, which are churning out a lot of financial self-help content, not least Netflix, most recently with a programme called How to get Rich, which unexpectedly made it into the Netflix Global Top 10.
So what’s being said here that’s new? The show is hosted by Californian personal finance coach Ramit Sethi, who has a bestselling book and podcast. He delivers a personal finance version of tidying up guru Marie Kondo’s approach to happiness: his basic idea being to “spend extravagantly on the things you love, and cut costs mercilessly on the things you don’t”. 
Sethi, 40, started his financial journey as “a dude in a dorm room” at Stanford University, after he lost half a college scholarship on the stock market. He recommends budgeting and, for investors, low-cost Vanguard funds. He warns against day trading, telling one young high-earning man on his show that his £100,000 in the red via trading on Robinhood is gambling, not investing. Plus, he’s great on how to have the money conversations that we all need to have, particularly if you’re part of a couple that disagrees on the fundamentals.
It’s common sense stuff, eloquently explained. For example: “We will spend our entire life agonising over $3 questions and completely ignore the $30,000 questions. A cup of coffee every day will make no difference in your life. But, are you paying a 1 per cent fee to a financial adviser, which will actually take 28 per cent of your returns directly out of your pocket in fees?” But it’s hardly rocket science.
The show’s success comes partly from our inner voyeur — viewers want to see how much the colourful case studies earn and spend. From a drag queen in debt to a divorcee with a trust fund, plus a charming couple saving for a dream wedding, we get excruciating details about their bank balances and money troubles. 
But the series title is misleading. This is not about doubling your money overnight or even about growing it faster. And, at a time when energy bills are going through the roof, Sethi’s over-repeated and wearingly enthusiastic catchphrase of “saying YES to a Rich Life”, is somewhat hard to take. Maybe I’m too British.
I think Sethi has won his viewers because he delivers what seems like the opposite of traditional money advice. Instead of focusing on saying “no” in order to save, he encourages people to say “yes” to spending whatever their finances allow.
This focus on enjoying the money you have — “thinking big” in order to “feel rich” — is interesting. His top three takeaways focus on the psychology around meaningful spending, changing patterns ingrained in childhood and making the switch from saving to spending.
I caught up with him to delve deeper. He explains: “Rich could mean travelling two months a year, a beautiful cashmere coat, picking up your kids from school every afternoon. The key here is that your ‘rich life’ is yours, nobody else’s.
“The biggest surprise is that people don’t think about it at all. Most of us wake up, eat breakfast, go to work, answer some emails, come home and watch TV and that’s a pretty good day. But when I ask people ‘What it is for?’ I get back answers like ‘retirement’. In fact, when I ask ‘What would you like to spend more on?’ there’s often no answer.”
Sethi recalls a man in Washington who said if he were to quadruple his spending, it would be on eating out. He initially joked: “I’ll probably have to watch my weight because I’ll be eating out four times a week.” But after some thought, he said: “I would take my family with me to these Michelin star restaurants because they could never afford to go on their own.”
For Sethi, this realisation is “the beautiful part of money”. “At the beginning level of personal finance, it’s always about the ‘what’. What can I get? Can I get that jacket? I have no problem with that. But at the highest level of money, it is always about ‘who’. Who do I get to bring with me? Who can I surprise with generosity?”
He recommends we all create a one-month, a one-year or even a 10-year bucket list — and working out what it costs. “The important thing is that you find a way to use your money to get excited versus simply paying bills.”
Sethi recognises that our childhood dramatically affects our views of money, but argues that those views can be changed.
It’s important not to miss the opportunity to spend, particularly in the prime spending years between the ages of 40 to 60
“When I speak to people who have accumulated a significant amount of money and yet feel anxious about spending it, we’ll often spend time tracing it back to a conversation they remember from when they were six years old with their parents around the dining table, and they will realise that they are haunted by the ghosts of what their parents or even their grandparents said.”
He believes the characteristic of people who are good at saving, but who struggle with spending, is that they simply never took the time to develop the skill. 
And it’s important not to miss the opportunity to spend, particularly in the prime spending years between the ages of 40 to 60. “Before 40 most people don’t have that much money. After 60 there are potential health challenges, whether it be you, a partner or a family member who you want to take care of. So, if you imagine this prime spending between 40 and 60, you start to ask yourself: ‘Wow, I have a window during which there are certain things in life that I can likely only do now.’ ”
Ouch. That hits home. I’m in my 40s so I will start a conversation with my husband around our 10-year spending plan.
Do I feel richer after talking to Sethi? No. Would I let him dissect my financial life and see my bank balance? Probably not.
But I’d watch his next series, if only to learn from the folly of others. And maybe also to feel a little smug that my finances, though not perfect, are in better shape than they could be.
Moira O’Neill is a freelance money and investment writer. Twitter: @MoiraONeill, Instagram @MoiraOnMoney, email: moira.o’neill@ft.com

Highlight
Remove highlight
"
https://www.ft.com/content/59538a2f-6298-44b7-b007-10cd54b6dc61,Dan Einav,"The Diplomat, Netflix review — an embarrassment to the embassy",2023-04-21,13:00:49,"The Diplomat is — how to put this diplomatically? — not quite all that it could have been. The eight-part Netflix thriller, about a newly appointed US ambassador to the UK, brings with it the promise of arcane international intrigue and glamour befitting a Ferrero Rocher ad. It also boasts the involvement of storied names with (geo) political drama pedigree, from showrunner Debora Cahn (a writer/producer on The West Wing and Homeland) to lead Keri Russell (The Americans) and Rory Kinnear, whose previous outing as a TV prime minister (in Black Mirror) was memorably, er, hammy.
And yet the series spurns the opportunity to provide a considered look at international relations in favour of a generic and improbably-plotted yarn. It follows Kate Wyler (Russell), a starchy career diplomat who must almost single-handedly avert a global catastrophe after a British warship is bombed in the Gulf. Despite having no ambassadorial experience to speak of, Kate is offhandedly chosen by the US president (Michael McKean) to head up the London embassy thanks to her Middle East expertise and the simple fact that there’s a significant vacancy that urgently needs to be filled.
Kate’s arrival leads to strained relationships, both special and spousal. Not only does she distrust the intentions of the bellicose, populist prime minister (Kinnear), but also those of her husband (Rufus Sewell), a recently decommissioned diplomat who holds political ambitions grander than hosting soirées. Within two days in the job, one has threatened to unleash “hellfire” while the other risks getting her fired. 
Though Kate talks about gossamer threads that hold the world in place, the show itself lacks delicacy and nuance. Its problem is that it’s at once too light and too heavy: so exaggerated that it has little to say about actual statecraft (despite vague allusions to current affairs) and so dry and insistently talky that it struggles to entertain.
There’s enough serviceable acting and production value to make this passable viewing, but you expect it won’t be too long before The Diplomat is reassigned from the Netflix homepage to some far-flung spot in its ever-expanding library.
★★☆☆☆
On Netflix now
Find out about our latest stories first — follow @ftweekend on Twitter
Highlight
Remove highlight
"
https://www.ft.com/content/43af9830-de8f-4eb5-9302-bbd42eb915d3,Christopher Grimes,Netflix delays account sharing crackdown after ‘cancel reaction’,2023-04-19,00:32:55,"Netflix has pushed back the planned US rollout of its closely watched attempt to crack down on account sharing, a move it expects will weigh on memberships and revenues as it seeks to improve the quality of the new service.
The streaming video company estimated revenues would hit $8.24bn in the second quarter, less than the $8.47bn expected by Wall Street analysts, according to an earnings release on Tuesday. Its shares initially fell more than 10 per cent in after-hours trading before rebounding and recovering those losses.
Netflix said in a letter to shareholders that the “paid sharing” service — which lets customers share their account with people outside their household for a fee — had resulted in a “cancel reaction” after it was launched in some markets including Canada and Spain.
That initially hurt “near-term” growth in its membership numbers, but Netflix said the crackdown ultimately led to higher subscriptions and revenue as the borrowers activated their own accounts. In Canada, the paid subscriber base was now higher than before the launch of the “paid sharing service”, the company said.
Netflix said about 100mn households “share” their accounts globally. According to Morgan Stanley estimates, Netflix could potentially convert 20-30 per cent of those to paying members.
“This account sharing initiative is about creating a larger base of potential members,” Ted Sarandos, co-chief executive, said during a video presentation on Tuesday. “That’s why were focused so much on execution.”
After Netflix shocked investors last April by revealing it had lost subscribers for the first time in a decade, it announced two new programmes to increase its revenue: the crackdown on password sharing and the launch of an advertising-supported service, which debuted in November.
It said it was delaying the wider launch of paid sharing to the US and three other markets from the first quarter to the second, which would shift “some of the membership growth and revenue benefit” from the second quarter to the third. This could also cause engagement with Netflix’s service to shrink “modestly” in the short term, it said, although it expected that would recover over time.
Despite the rollout delays, Netflix said it was confident it could hit its full-year targets, adding it was “pleased” with the recent paid-sharing launches.
Recommended
Spencer Neumann, Netflix chief financial officer, said new ad-supported services were still in “start-up mode”.
But the company said it had not seen many customers ditch their high-priced subscriptions in favour of the cheaper ad-supported options as some had feared.
Sarandos warned that a potential Hollywood writers’ strike next month would be “devastating” to the creative community and to viewers, but he added that Netflix has a strong foundation of international content that would help it weather a strike. “We really don’t want [a strike] to happen,” Sarandos said. “We’re at the [negotiating] table”.
Netflix added 1.7mn subscribers around the world in the first quarter, below Wall Street forecasts of 2.3mn. Its revenues rose 3.7 per cent to $8.16bn but net income dropped from $1.6bn to $1.3bn. Earnings of $2.88 a share were ahead of investor expectations.
The company also announced that it would wind down its DVD rental programme in September after 25 years, marking the end of a service that was the core of Netflix’s business model when it was founded.
Highlight
Remove highlight
"
https://www.ft.com/content/159d14f8-bbd5-47d6-a8f2-bc86d5f5104b,Dan Einav,Transatlantic — new Netflix series paints wartime escapades with unexpected glamour,2023-04-14,08:00:32,"In 1940, thousands of refugees arrived in the port city of Marseille hoping to escape Nazi Europe only to discover that swimming to America would be no less arduous than obtaining the required exit visas and transit papers.
New Netflix series Transatlantic follows the campaign mounted by the volunteer American Emergency Rescue Committee (ERC) to smuggle more than 2,000 Jewish or anti-fascist artists, intellectuals and dissidents out of Vichy-ruled Marseille to neutral Iberia and, from there, the US. It’s a remarkable true story of heroism, humanity, French self-preservation and American isolationism. But it’s dramatised in such a mannered way that unbelievable truths come to seem unreal.
Some of the glamour and frivolity can at least be contextualised. The ERC, led by the journalist Varian Fry (Cory Michael Smith), did in fact operate out of a lavish hotel (later a country château) and were partially bankrolled by the Europhile Chicago socialite Mary Jayne Gold (Gillian Jacobs). While awaiting deliverance, the sheltered visionaries and freethinkers — including Max Ernst, André Breton and Hannah Arendt — continued to create, debate and celebrate life together. At one point here we see “Europe’s finest minds” take part in a drunken conga.
But instead of bringing a dramatic immediacy to the past, Transatlantic (co-created by Anna Winger of Deutschland 83) seems content to steep itself in nostalgia. Over seven episodes the series fluctuates between wartime adventuring — full of close getaways, ingenious schemes, espionage and seduction — and a Midnight in Paris-style reverie populated by great artists painted in broad brushstrokes.
Recommended
The more the show leans towards levity, the more the gravity of the actual circumstances in which these escapes and escapades played out is jarringly reduced. While there are scenes touched by trauma and tragedy, and some weighty ethical and political dilemmas, too often the feelings of peril, displacement and helplessness fail to travel. With its luscious aesthetic, slick pacing and throwback charm, Transatlantic largely delivers as entertainment. But given the subject matter, it should be so much more than that.
★★★☆☆
On Netflix now
Find out about our latest stories first — follow @ftweekend on Twitter
Highlight
Remove highlight
"
https://www.ft.com/content/1e40c7b8-7c1c-46e8-a443-3f251525cf8e,Dan Einav,Black comedy Beef brings LA road rage to Netflix — review,2023-04-03,04:00:32,"It’s not illegal to drive under the influence of acute existential distress, but it’s best avoided. For proof see Beef, a bilious black comedy-drama coming to Netflix (though produced by indie studio A24), in which two brittle people finally snap as they try to leave a Los Angeles car park. 
When struggling handyman Danny (Steven Yeun) almost reverses his truck into the SUV behind, he’s met with histrionic honking and a middle finger belonging to tightly wound entrepreneur Amy (Ali Wong). Both are desperately in need of a personal victory and neither is willing to take the high road. Instead they chase each other through red lights and oncoming traffic — a death drive for two individuals with very different but similarly unfulfilled lives. 
From this initial, rage-filled encounter (or “meet-brute”) a bitter enmity emerges. Once Amy and Danny discover the identity of their foe, they take turns exacting revenge. Over 10 episodes, the mutually destructive feud escalates from puerile pranking to attacks on property, careers and personal relationships, causing considerable collateral damage along the way.
But if there’s a rubbernecking thrill in watching how low and how far Amy and Danny are willing to go, Beef is more psychologically and emotionally eloquent than the Looney Tunes set-up might suggest. While the show is often very funny, it is most absorbing when it explores why people might be compelled to abdicate all rationality and embrace hate. 
As the series goes on, Amy and Danny become more objectionable but also easier to understand. We see how their vendetta offers them a much-needed sense of purpose and power, and also an escape from the fronts they have to put on every day. “I’m so sick of smiling,” complains Danny at one point. But as he scampers away from his rival’s house having soiled her expensive flooring, the grin on his face is one of pure, unaffected delight.
The same sentiment is echoed by Amy: “I hate pretending that I don’t hate things,” she says. Wong, who came to fame as a stand-up comedian, excels in these quieter moments in which she reveals the conflict within her character that fuels her ire. Often her face seems to be on the verge of shattering under the strain of having to hide her pain and self-loathing, not least from her exhaustingly positive husband (Joseph Lee). And when she does let the facade drop, it’s nothing short of electrifying.
Yeun too is brilliant at inhabiting Danny’s wounded pride, frustrated aspiration and gnawing feeling of emptiness. A strong supporting cast meanwhile help expand the scope of the story to take in family dynamics, Asian-American identity and moneyed LA elites.
But like his characters, series creator Lee Sung Jin ends up taking things to a misjudged extreme with some tonally-dissonant, narratively overcooked final episodes. Even so, there’s enough to savour in Beef to make it a rare dramatic success for Netflix in recent times.
★★★★☆
On Netflix from April 6
Find out about our latest stories first — follow @ftweekend on Twitter
Highlight
Remove highlight
"
