report,profit,revenue,forecast,total
FINAL-Q1-11-Shareholder-Letter,3,1,1,5
FINAL-Q1-12-Shareholder-Letter,8,5,0,13
FINAL-Q1-13-Shareholder-Letter,2,3,1,6
FINAL-Q1-14-Shareholder-Letter,2,1,0,3
FINAL-Q1-15-Shareholder-Letter,1,0,4,5
FINAL-Q1-16-Shareholder-Letter,1,2,2,5
FINAL-Q1-17-Shareholder-Letter,0,5,1,6
FINAL-Q1-18-Shareholder-Letter,0,4,3,7
FINAL-Q1-19-Shareholder-Letter,0,4,2,6
FINAL-Q1-20-Shareholder-Letter,1,-4,-3,-6
FINAL-Q1-21-Shareholder-Letter,1,3,3,7
FINAL-Q1-22-Shareholder-Letter,1,2,-4,-1
FINAL-Q1-23-Shareholder-Letter,5,11,0,16
FINAL-Q2-11-Shareholder-Letter,1,0,-1,0
FINAL-Q2-12-Shareholder-Letter,12,4,-2,14
FINAL-Q2-13-Shareholder-Letter,1,1,0,2
FINAL-Q2-14-Shareholder-Letter,2,1,0,3
FINAL-Q2-15-Shareholder-Letter,1,2,1,4
FINAL-Q2-16-Shareholder-Letter,1,1,-6,-4
FINAL-Q2-17-Shareholder-Letter,3,2,1,6
FINAL-Q2-18-Shareholder-Letter,0,2,-1,1
FINAL-Q2-19-Shareholder-Letter,0,2,3,5
FINAL-Q2-20-Shareholder-Letter,0,2,2,4
FINAL-Q2-21-Shareholder-Letter,3,6,5,14
FINAL-Q2-22-Shareholder-Letter,3,9,1,13
FINAL-Q2-23-Shareholder-Letter,1,6,3,10
FINAL-Q3-11-Shareholder-Letter,-1,1,1,1
FINAL-Q3-12-Shareholder-Letter,4,0,1,5
FINAL-Q3-13-Shareholder-Letter,1,1,0,2
FINAL-Q3-14-Shareholder-Letter,2,4,1,7
FINAL-Q3-15-Shareholder-Letter,0,0,0,0
FINAL-Q3-16-Shareholder-Letter,2,5,3,10
FINAL-Q3-17-Shareholder-Letter,3,4,2,9
FINAL-Q3-18-Shareholder-Letter,1,3,3,7
FINAL-Q3-19-Shareholder-Letter,0,7,3,10
FINAL-Q3-20-Shareholder-Letter,2,2,3,7
FINAL-Q3-21-Shareholder-Letter,0,2,5,7
FINAL-Q3-22-Shareholder-Letter,4,9,4,17
FINAL-Q4-11-Shareholder-Letter,4,2,2,8
FINAL-Q4-12-Shareholder-Letter,5,4,2,11
FINAL-Q4-13-Shareholder-Letter,4,1,1,6
FINAL-Q4-14-Shareholder-Letter,3,1,-1,3
FINAL-Q4-15-Shareholder-Letter,3,1,0,4
FINAL-Q4-16-Shareholder-Letter,2,3,2,7
FINAL-Q4-17-Shareholder-Letter,2,4,5,11
FINAL-Q4-18-Shareholder-Letter,1,2,2,5
FINAL-Q4-19-Shareholder-Letter,1,4,-3,2
FINAL-Q4-20-Shareholder-Letter,2,7,2,11
FINAL-Q4-21-Shareholder-Letter,1,3,-1,3
FINAL-Q4-22-Shareholder-Letter,5,13,4,22
